Gene	Direction
ZCCHC9	All
ZFAND3	All
ZNF248	All
ZFP36	All
ZNF845	All
ZNF462	All
ZNF467	All
ZNF583	All
ZNF780A	All
ZNF865	All
ZNF233	All
ZFYVE19	All
ZFYVE27	All
ZNHIT2	All
ZSWIM1	All
C1orf53	Downreg
C6orf136	Downreg
AARS2	Downreg
ABCD4	Downreg
ABHD5	Downreg
ACADL	Downreg
ADORA2A	Downreg
AGBL5	Downreg
ALG11	Downreg
APLNR	Downreg
ARHGAP18	Downreg
ARMC5	Downreg
ARPP21	Downreg
ASPRV1	Downreg
BCL6	Downreg
BCS1L	Downreg
BEND5	Downreg
BUD31	Downreg
C1QL1	Downreg
CCDC14	Downreg
CCDC190	Downreg
CCDC39	Downreg
CENATAC	Downreg
CCDC9B	Downreg
CD302	Downreg
CDK10	Downreg
CENPL	Downreg
CEP72	Downreg
CHCHD7	Downreg
CHMP1B	Downreg
CHMP6	Downreg
CLPP	Downreg
COL6A1	Downreg
COMMD6	Downreg
COQ2	Downreg
CRBN	Downreg
CREG1	Downreg
C2orf80	Downreg
DCAF12L2	Downreg
DGAT2	Downreg
DGKQ	Downreg
DLX1	Downreg
DMPK	Downreg
DPH1	Downreg
DUS3L	Downreg
ECHDC2	Downreg
EID1	Downreg
ENTR1	Downreg
EPHX4	Downreg
ERCC6	Downreg
ERICH1	Downreg
ESRRA	Downreg
FAM107A	Downreg
PABIR1	Downreg
FAM133B	Downreg
FAM71E1	Downreg
FANCB	Downreg
FANCF	Downreg
FCRL4	Downreg
FHL2	Downreg
FMNL2	Downreg
FOXK2	Downreg
GAL3ST1	Downreg
GART	Downreg
GCDH	Downreg
GDPD3	Downreg
C11orf71	Downreg
ZNF34	Downreg
GPR52	Downreg
GSG1L	Downreg
GTPBP2	Downreg
HR	Downreg
IDH2	Downreg
IFT88	Downreg
IL17D	Downreg
IL18	Downreg
IL1RAP	Downreg
INO80C	Downreg
ITFG2	Downreg
ITPA	Downreg
JMJD7	Downreg
KCTD5	Downreg
KLHL29	Downreg
LRIF1	Downreg
LRRC3B	Downreg
LTV1	Downreg
LUZP2	Downreg
LYRM1	Downreg
MANEA	Downreg
MANF	Downreg
MCPH1	Downreg
MCUB	Downreg
MFSD4B	Downreg
MICAL1	Downreg
MID1	Downreg
MMP11	Downreg
MOB3C	Downreg
MRPL19	Downreg
MRPL54	Downreg
MRPS31	Downreg
MTA3	Downreg
MTERF3	Downreg
MTHFD2	Downreg
MUS81	Downreg
