Gene	Direction
Fbxo21	All
Rdh11	All
Zfyve27	All
Stx2	All
Utp14b	All
Snca	All
Slc35a3	All
Epas1	All
Etv1	All
Rprd2	All
Rnase4	All
Npdc1	All
Mta3	All
Gsg1l	All
Ube2h	All
Smad5	All
Rnf19a	All
Rere	All
Slc39a14	All
Opn3	All
Scfd2	All
Cdk10	All
Lonrf1	All
Zfp462	All
Slc1a1	All
Mrpl19	All
Smarcd3	All
Spata2	All
Hid1	All
Zfp865	All
Pcgf5	All
Tmem167b	All
Arf3	All
Ttbk2	All
Rps2	All
Zfand3	All
Unc45a	All
Pwp1	All
Foxk2	All
Nol4l	All
Nop56	All
Polr2m	All
Fnip2	All
Ndufaf4	All
Hcfc2	All
Jmjd7	Downreg
Asprv1	Downreg
Selenop	Downreg
C1ql1	Downreg
Fancf	Downreg
Phpt1	Downreg
Ly6g6e	Downreg
Gal3st1	Downreg
Smim24	Downreg
Gm5617	Downreg
Spata24	Downreg
Ccdc190	Downreg
Tnfaip6	Downreg
Mcub	Downreg
Srrd	Downreg
Gdpd3	Downreg
Erich1	Downreg
Aplnr	Downreg
2610042L04Rik	Downreg
Gm10643	Downreg
Nthl1	Downreg
Ino80c	Downreg
Gm7072	Downreg
2310009B15Rik	Downreg
Dcaf12l2	Downreg
Tha1	Downreg
Mcts2	Downreg
Mid1	Downreg
Ccdc84	Downreg
Pla2g7	Downreg
Bcl6	Downreg
Arpp21	Downreg
Armc5	Downreg
Znhit2	Downreg
Dmpk	Downreg
Ubxn8	Downreg
Gpr52	Downreg
Mus81	Downreg
Fam71e1	Downreg
Col6a1	Downreg
Fhl2	Downreg
Zfp459	Downreg
Uba52	Downreg
Snx9	Downreg
Mmp11	Downreg
Esrra	Downreg
Zfp583	Downreg
Il18	Downreg
Scand1	Downreg
Coq2	Downreg
Dph1	Downreg
Taf5l	Downreg
Zfp248	Downreg
Fam122a	Downreg
Dlx1	Downreg
Bcs1l	Downreg
Apopt1	Downreg
Ift88	Downreg
Nubp1	Downreg
Il17d	Downreg
Zcchc9	Downreg
Adora2a	Downreg
Myo19	Downreg
Ccdc9b	Downreg
Chchd7	Downreg
Gm3248	Downreg
Luzp2	Downreg
Dgat2	Downreg
Slc25a16	Downreg
Olfm4	Downreg
D630023F18Rik	Downreg
Lyrm1	Downreg
Arhgap18	Downreg
Fam107a	Downreg
Mfsd4b4	Downreg
Mycbp	Downreg
Timm10b	Downreg
Stx3	Downreg
Tnfsf12	Downreg
Ltv1	Downreg
Spata6	Downreg
Agbl5	Downreg
H2bc4	Downreg
Fcrls	Downreg
Lrrc3b	Downreg
P3h3	Downreg
Tcta	Downreg
Scamp2	Downreg
Ephx4	Downreg
Gm3739	Downreg
Pigo	Downreg
Rpusd1	Downreg
Sdccag8	Downreg
Cd302	Downreg
Prdm11	Downreg
Manf	Downreg
9130019O22Rik	Downreg
Manea	Downreg
Fancb	Downreg
Frg1	Downreg
Commd6	Downreg
Lrif1	Downreg
Cenpl	Downreg
Dgkq	Downreg
